,angle,area,aspect_ratio,ca,cattle_id,contour_area,contour_perimeter,cs_name,datetaken,eccentricity,extent,firstframe,framecount,frametime,ipr,is_valid,max_area,perimeter,pupil_major_axis,pupil_minor_axis,solidity,stall_name,svg_area,svg_ca,svg_eccentricity,svg_ipr,svg_max_area,svg_perimeter,svg_pupil_major_axis,svg_pupil_minor_axis,timestamp,totd,vit_a
140,104.80353546142578,8860.940499053691,1.5172413793103448,0.38031942751908193,1372243682,8185.0,401.4213534593582,WA02_2015_12_3_9_38_16_206918,2015-12-03 00:00:00,0.8354140647560014,0.7127307558342041,False,23,1.53,0.8442179866280499,True,14299.20654697715,363.17633508650476,143.27264404296875,78.74566650390625,0.912536930709627,WA02,8777.404069484019,0.36881857421026576,0.8384381410660035,0.840382030412626,14299.20654697715,362.28437115622467,143.19938057346477,78.04320044284668,2015-12-03 00:38:16,day,29.017857142857142
141,99.1655044555664,9197.850184147657,1.630952380952381,0.3502391049704578,1372243682,8529.0,416.7350617647171,WA02_2015_12_3_9_39_53_156605,2015-12-03 00:00:00,0.8486320285425407,0.7411366006256517,False,24,1.6,0.8266507919378091,True,14155.745989806705,373.9271975542884,148.79115295410156,78.70808410644531,0.9104397950469684,WA02,8462.85448033985,0.4165926743609715,0.8647665030988042,0.8020805494631187,14155.745989806705,364.128251931833,146.4826916157112,73.55982380482236,2015-12-03 00:39:53,day,29.017857142857142
142,101.1596450805664,9252.37820193856,1.569767441860465,0.377938402682592,1372243682,8460.5,416.4924211502075,WA02_2015_12_4_15_11_59_820480,2015-12-04 00:00:00,0.8506152532496924,0.7287252368647718,False,25,1.67,0.8238272032367653,True,14873.733150927043,375.6760908477124,149.68426513671875,78.70228576660156,0.9062717583418135,WA02,8940.264039057663,0.401011007430727,0.853737869211593,0.8192747537032725,14873.733150927043,370.30989643912426,147.8547146482586,76.98839865865578,2015-12-04 06:11:59,day,29.047619047619047
143,100.67958068847656,7812.335323930436,1.75,0.3456453204115064,1372243682,7329.0,383.7644991874695,WA02_2015_12_4_15_12_58_404229,2015-12-04 00:00:00,0.881758150184665,0.7250692520775623,False,23,1.53,0.7716986265928756,True,11938.992059846516,356.67404437794374,145.215087890625,68.49821472167969,0.9157243705878678,WA02,7780.055727440147,0.33401252089767597,0.8824110806995609,0.7704244380856861,11938.992059846516,356.23063149309957,145.10293459731784,68.26791367045993,2015-12-04 06:12:58,day,29.047619047619047
144,97.39370727539062,7223.676827559346,1.9130434782608696,0.4214429317631961,1372243682,6871.0,371.2792183160782,WA02_2015_12_5_0_10_27_376806,2015-12-04 00:00:00,0.8979049602439431,0.7543917435221783,False,25,1.67,0.7374797396055329,True,12485.677254923257,350.83994909741733,144.5487823486328,63.62883758544922,0.9230252552391187,WA02,7173.267052853912,0.4347501546677102,0.9054042976809149,0.7194287915336739,12485.677254923257,353.97250117138174,146.672576982301,62.26990392172337,2015-12-04 15:10:27,night,29.047619047619047
145,102.5123291015625,9932.5827522759,1.5494505494505495,0.2768125452225571,1372243682,9306.5,424.14927554130554,WA02_2015_12_6_7_21_16_45104,2015-12-05 00:00:00,0.8287180946828753,0.7253136933987998,False,23,1.53,0.8523530924668433,True,13734.451125583475,382.67162221138886,150.32167053222656,84.12996673583984,0.9172128320110383,WA02,9770.621771332952,0.2161803267099756,0.8275423983101526,0.8537325143183109,13734.451125583475,379.23212707725764,148.8602381043123,83.57061747539322,2015-12-05 22:21:16,day,29.077380952380953
146,96.27447509765625,10311.867931432062,1.6111111111111112,0.28819592391109866,1372243682,9649.5,444.4335460662842,WA02_2015_12_6_7_22_16_255870,2015-12-05 00:00:00,0.8288371042419461,0.7394252873563218,False,24,1.6,0.8522126652713442,True,14486.947009480391,389.9416373890296,153.18899536132812,85.70771026611328,0.9133459536204449,WA02,10322.546543943323,0.26185892660787313,0.8298855642194195,0.8509691440083795,14486.947009480391,390.42844444741075,153.48191496453782,85.6327239932773,2015-12-05 22:22:16,day,29.077380952380953
147,100.53619384765625,8402.480503554938,1.4823529411764707,0.44541394659439404,1372243682,7910.0,384.24978053569794,WA02_2015_12_6_7_19_17_123449,2015-12-05 00:00:00,0.7949143205466256,0.738562091503268,False,25,1.67,0.8869479194932353,True,15150.904809013726,345.0322013747509,132.7895965576172,80.56632995605469,0.9212135328713679,WA02,7693.706139779385,0.5061916485548655,0.8120403717877699,0.870663027716609,15150.904809013726,333.2327505549226,129.5581520599697,75.61030121982986,2015-12-05 22:19:17,day,29.077380952380953
148,97.99761199951172,9168.61660452953,1.6547619047619047,0.3554111442270265,1372243682,8610.0,418.3919155597687,WA02_2015_12_6_7_19_34_352066,2015-12-05 00:00:00,0.8504080831063955,0.737410071942446,False,24,1.6,0.824124587846806,True,14223.976294990043,373.90425080369334,148.95773315429688,78.37018585205078,0.9156652132298203,WA02,8999.35694353829,0.3606775870441912,0.8554025254447156,0.8167930710660211,14223.976294990043,372.0956975262382,148.7342833852667,77.03897767819518,2015-12-05 22:19:34,day,29.077380952380953
149,87.24540710449219,20187.221632805216,1.446969696969697,0.29468329705360674,1445184485,19905.0,550.2741656303406,WA02_2015_11_7_9_14_57_436236,2015-11-07 00:00:00,0.7443997103784974,0.7895049976201809,False,24,1.6,0.9236441876775677,True,28621.499460419727,524.0718790969297,196.1966094970703,131.0072021484375,0.9847135648560403,WA02,19770.074569782537,0.31427309717702306,0.7532515285403211,0.9182283953779269,28621.499460419727,520.1561363906201,195.6295872899667,128.67195138176902,2015-11-07 00:14:57,day,29.107142857142858
150,,,,,1372243682,,,WA02_2015_12_6_15_0_53_482330,2015-12-06 00:00:00,,,False,24,1.6,,True,13530.500700606048,,,,,WA02,9181.307171451577,0.303536129986749,0.8503386027266964,0.8242241964493014,13530.500700606048,374.14031783592856,149.04488174891588,78.43277290625728,2015-12-06 06:00:53,day,29.107142857142858
151,97.2743148803711,10448.68217973704,1.651685393258427,0.34745888150968657,1372243682,9587.5,456.4335459470749,WA02_2015_12_6_15_3_5_550556,2015-12-06 00:00:00,0.8363594984500716,0.7328212183749905,False,25,1.67,0.8430298675685352,True,16012.296978174478,394.651911770883,155.7843017578125,85.3980484008789,0.9034583490388239,WA02,10404.477694394733,0.3562344058841792,0.8383936588068698,0.8404392118202358,16012.296978174478,394.42271693082375,155.898154197995,84.97465868642516,2015-12-06 06:03:05,day,29.107142857142858
